HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5702.99.15.00","4","Other (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","6.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM, P,PA,PE,S,SG)","45%","",""
"5702.99.20.00","3","Other","[""m<sup>2<\/sup>"",""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"5703","0","Carpets and other textile floor coverings (including turf), tufted, whether or not made up:","","","","","",""
"5703.10","1","Of wool or fine animal hair:","","","","","",""
"5703.10.20.00","2","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (465)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (A*,AU,B,BH,CL,CO,D,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","60%","",""
"5703.10.80.00","2","Other (465)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,NP,OM, P,PA,PE,S,SG)","60%","",""
"","1","Of nylon or other polyamides:","","","","","",""
"5703.21.00","2","Turf","","6.7%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.21.00.10","3","Measuring not more than 5.25 m<sup>2</sup> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.21.00.90","3","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.29","2","Other:","","","","","",""
"5703.29.10.00","3","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (665)","[""m<sup>2<\/sup>"",""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"5703.29.20","3","Other","","6.7%","Free (AU,B,BH,CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.29.20.10","4","Measuring not more than 5.25 m<sup>2</sup> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.29.20.90","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","1","Of other man-made textile materials:","","","","","",""
"5703.31.00","2","Turf","","6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.31.00.30","3","Measuring not more than <il>5.25 m<sup>2</sup></il> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5703.31.00.60","4","In rolls of a width equal to or exceeding 1.0 meter, or in sheets measuring 1.0 meter or greater on any side (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.31.00.85","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.39","2","Other:","","","","","",""
"5703.39.10.00","3","Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (665)","[""m<sup>2<\/sup>"",""kg""]","6%","Free (A,AU,B,BH,CL,CO,D,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"5703.39.20","3","Other","","6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","60%","",""
"5703.39.20.30","4","Measuring not more than <il>5.25 m<sup>2</sup></il> in area (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.39.20.90","4","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5703.90.00.00","1","Of other textile materials","[""m<sup>2<\/sup>"",""kg""]","3.8%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,NP,OM,P,PA,PE,S,SG)","60%","",""
"5704","0","Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up:","","","","","",""
"5704.10.00","1","Tiles, having a maximum surface area of <il>0.3 m<sup>2</sup></il>","","4.7%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5704.10.00.10","2","Of wool or fine animal hair (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5704.10.00.90","2","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5704.20.00","1","Tiles, having a maximum surface area exceeding 0.3m<sup>2</sup> but not exceeding 1m<sup>2</sup>","","Free","","40%","",""
"5704.20.00.10","2","Of wool or fine animal hair (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5704.20.00.90","2","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5704.90.01","1","Other","","Free","","40%","",""
"5704.90.01.10","2","Of wool or fine animal hair (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5704.90.01.90","2","Other (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5705.00","0","Other carpets and other textile floor coverings, whether or not made up:","","","","","",""
"5705.00.10.00","1","Of coir","[""m<sup>2<\/sup>"",""kg""]","Free","","16%","",""
"5705.00.20","1","Other","","3.3%","Free (AU,B,BH, CL,CO,E*,IL,JO,KR,MA,NP,OM,P,PA, PE,S,SG)","35%","",""
"","2","Of wool or fine animal hair:","","","","","",""
"5705.00.20.05","3","Needlepoint (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5705.00.20.15","3","Other (465)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5705.00.20.20","2","Of cotton (369)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5705.00.20.30","2","Of man-made fibers (665)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5705.00.20.90","2","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5801","0","Woven pile fabrics and chenille fabrics, other than fabrics of heading 5802 or 5806:","","","","","",""
"5801.10.00.00","1","Of wool or fine animal hair (414)","[""m²"",""<u>kg<\/u>""]","Free","","61.5%","",""
"","1","Of cotton:","","","","","",""
"5801.21.00.00","2","Uncut weft pile fabrics (224)","[""m²"",""kg""]","20.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","50%","",""
"5801.22","2","Cut corduroy:","","","","","",""
"5801.22.10.00","3","Greater than 7.5 wales per cm (224)","[""m²"",""kg""]","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","50%","",""
"5801.22.90.00","3","Other (224)","[""m²"",""kg""]","20.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","50%","",""
"5801.23.00.00","2","Other weft pile fabrics (224)","[""m²"",""kg""]","10%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","44%","",""
"5801.26.00","2","Chenille fabrics","","Free","","50%","",""
"5801.26.00.10","3","With chenille yarns on one side only (224)","[""m²"",""kg""]","","","","",""
"5801.26.00.20","3","Other (224)","[""m²"",""kg""]","","","","",""
"5801.27","2","Warp pile fabrics:","","","","","",""
"5801.27.10.00","3","Epinglé (uncut) (224)","[""m²"",""kg""]","10.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","70%","",""
"5801.27.50","3","Cut (224)","","18.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","70%","",""
"5801.27.50.10","4","Over 271 grams per square meter (224)","[""m²"",""kg""]","","","","",""
"5801.27.50.20","4","Other (224)","[""m²"",""kg""]","","","","",""
"","1","Of man-made fibers:","","","","","",""
"5801.31.00.00","2","Uncut weft pile fabrics (224)","[""m²"",""kg""]","17.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.32.00.00","2","Cut corduroy (224)","[""m²"",""kg""]","14%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.33.00.00","2","Other weft pile fabrics (224)","[""m²"",""kg""]","9.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.36.00","2","Chenille fabrics","","9.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.36.00.10","3","With chenille yarns on one side only (224)","[""m²"",""kg""]","","","","",""
"5801.36.00.20","3","Other (224)","[""m²"",""kg""]","","","","",""
"5801.37","2","Warp pile fabrics:","","","","","",""
"5801.37.10.00","3","Epinglé (uncut) (224)","[""m²"",""kg""]","14%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.37.50","3","Cut","","17.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5801.37.50.10","4","Over 271 grams per square meter (224)","[""m²"",""kg""]","","","","",""
"5801.37.50.20","4","Other (224)","[""m²"",""kg""]","","","","",""
"5801.90","1","Of other textile materials:","","","","","",""
"5801.90.10.00","2","Of vegetable fibers, except cotton (810)","[""m²"",""kg""]","3.7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","50%","",""
"5801.90.20","2","Other","","2.7%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","70%","",""
"5801.90.20.10","3","Containing 85 percent or more by weight of silk or silk waste","[""m²"",""kg""]","","","","",""
"5801.90.20.90","3","Other (810)","[""m²"",""kg""]","","","","",""
"5802","0","Terry toweling and similar woven terry fabrics, other than narrow fabrics of heading 5806; tufted textile fabrics, other than products of heading 5703:","","","","","",""
"5802.10","1","Terry toweling and similar woven terry fabrics, of cotton:","","","","","",""
"5802.10.10.00","2","Unbleached (224)","[""m²"",""kg""]","9.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5802.10.90.00","2","Other (224)","[""m²"",""kg""]","9.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","40%","",""
"5802.20.00","1","Terry toweling and similar woven terry fabrics, of other textile materials","","14%","Free (AU,BH,CL, CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5802.20.00.10","2","Containing 85 percent or more by weight of silk or silk waste","[""m²"",""kg""]","","","","",""
"5802.20.00.20","2","Of man-made fibers (224)","[""m²"",""kg""]","","","","",""
"5802.20.00.90","2","Other (810)","[""m²"",""kg""]","","","","",""
"5802.30.00","1","Tufted textile fabrics","","6.2%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","79.5%","",""
"5802.30.00.10","2","Containing 85 percent or more by weight of silk or silk waste","[""m²"",""kg""]","","","","",""
"5802.30.00.20","2","Of wool or fine animal hair (414)","[""m²"",""<u>kg<\/u>""]","","","","",""
"5802.30.00.30","2","Of cotton; of man-made fibers (224)","[""m²"",""kg""]","","","","",""
"5802.30.00.90","2","Other (810)","[""m²"",""kg""]","","","","",""
"5803.00","0","Gauze, other than narrow fabrics of heading 5806:","","","","","",""
"5803.00.10.00","1","Of cotton (220)","[""m²"",""kg""]","Free","","41.75%","",""
"","1","Of other textile materials:","","","","","",""
"","2","Of wool or fine animal hair:","","","","","",""
"5803.00.20.00","3","Tapestry fabrics and upholstery fabrics of a weight not exceeding <il>140 g/m²</il> (414)","[""m²"",""<u>kg<\/u>""]","7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","68.5%","",""
"5803.00.30.00","3","Other (414)","[""m²"",""<u>kg<\/u>""]","16.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","68.5%","",""
"5803.00.40.00","2","Of vegetable fibers, except cotton (810)","[""m²"",""kg""]","Free","","35%","",""
"5803.00.50.00","2","Of man-made fibers (220)","[""m²"",""kg""]","Free","","81%","",""
"5803.00.90","2","Other","","Free","","60%","",""
"5803.00.90.10","3","Containing 85 percent or more by weight of silk or silk waste","[""m²"",""kg""]","","","","",""
"5803.00.90.90","3","Other (810)","[""m²"",""kg""]","","","","",""
"5804","0","Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of headings 6002 to 6006:","","","","","",""
"5804.10","1","Tulles and other net fabrics:","","","","","",""
"5804.10.10.00","2","Of cotton or man-made fibers (229)","[""kg""]","6%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","90%","",""
"5804.10.90","2","Other","","Free","","90%","",""
"5804.10.90.10","3","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5804.10.90.90","3","Other (899)","[""kg""]","","","","",""
"","1","Mechanically made lace:","","","","","",""
"5804.21.00.00","2","Of man-made fibers (229)","[""kg""]","12%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","90%","",""
"5804.29","2","Of other textile materials:","","","","","",""
"5804.29.10.00","3","Of cotton (229)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
"5804.29.90","3","Other","","5%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","90%","",""
"5804.29.90.10","4","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5804.29.90.90","4","Other (899)","[""kg""]","","","","",""
"5804.30.00","1","Hand-made lace","","13.2%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"5804.30.00.10","2","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5804.30.00.20","2","Of cotton; of man-made fibers (229)","[""kg""]","","","","",""
"5804.30.00.90","2","Other (899)","[""kg""]","","","","",""
"5805.00","0","Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries (for example, petit point, cross stitch), whether or not made up:","","","","","",""
"5805.00.10.00","1","Hand-woven tapestries fit only for use as wall hangings and valued over $215 per square meter","[""m²"",""<u>kg<\/u>""]","Free","","Free","",""
"","1","Other:","","","","","",""
"","2","Of wool or fine animal hair:","","","","","",""
"5805.00.20.00","3","Certified hand-loomed and folklore products","[""m²"",""kg""]","Free","","64.5%","",""
"5805.00.25.00","3","Other (414)","[""m²"",""<u>kg<\/u>""]","Free","","64.5%","",""
"5805.00.30.00","2","Of cotton (369)","[""m²"",""<u>kg<\/u>""]","Free","","40%","",""
"5805.00.40","2","Other","","Free","","74%","",""
"5805.00.40.10","3","Of man-made fibers (666)","[""m²"",""<u>kg<\/u>""]","","","","",""
"5805.00.40.90","3","Other","[""m²"",""kg""]","","","","",""
"5806","0","Narrow woven fabrics, other than goods of heading 5807; narrow fabrics consisting of warp without weft assembled by means of an adhesive (bolducs):","","","","","",""
"5806.10","1","Woven pile fabrics (including terry toweling and similar terry fabrics) and chenille fabrics:","","","","","",""
"5806.10.10.00","2","Of cotton (229)","[""kg""]","7.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","62.5%","",""
"","2","Of man-made fibers:","","","","","",""
"5806.10.24.00","3","Fastener fabric tapes (229)","[""kg""]","7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","68.5%","",""
"5806.10.28.00","3","Other (229)","[""kg""]","8.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","68.5%","",""
"5806.10.30","2","Other","","3.8%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","59%","",""
"5806.10.30.10","3","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5806.10.30.20","3","Of wool or fine animal hair (414)","[""kg""]","","","","",""
"5806.10.30.90","3","Other (899)","[""kg""]","","","","",""
"5806.20.00","1","Other woven fabrics, containing by weight 5 percent or more of elastomeric yarn or rubber thread","","7%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"5806.20.00.10","2","Containing elastomeric yarn (229)","[""kg""]","","","","",""
"5806.20.00.90","2","Other (229)","[""kg""]","","","","",""
"","1","Other woven fabrics:","","","","","",""
"5806.31.00.00","2","Of cotton (229)","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"5806.32","2","Of man-made fibers:","","","","","",""
"5806.32.10","3","Ribbons","","6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","76.5%","",""
"5806.32.10.10","4","Suitable for the manufacture of typewriter or similar ribbons of heading 9612 (621)","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Of a width not exceeding 12 cm:","","","","","",""
"","6","Of polyester:","","","","","",""
"","7","With woven selvedge:","","","","","",""
"5806.32.10.20","8","Containing wire in selvedge (229)","[""kg""]","","","","",""
"5806.32.10.30","8","Other (229)","[""kg""]","","","","",""
"5806.32.10.40","7","Other (229)","[""kg""]","","","","",""
"","6","Of nylon:","","","","","",""
"","7","With woven selvedge:","","","","","",""
"5806.32.10.50","8","Containing wire in selvedge (229)","[""kg""]","","","","",""
"5806.32.10.60","8","Other (229)","[""kg""]","","","","",""
"5806.32.10.70","7","Other (229)","[""kg""]","","","","",""
"5806.32.10.80","6","Other (229)","[""kg""]","","","","",""
"5806.32.10.95","5","Other (229)","[""kg""]","","","","",""
"5806.32.20.00","3","Other (229)","[""kg""]","6.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","84%","",""
"5806.39","2","Of other textile materials:","","","","","",""
"5806.39.10.00","3","Of wool or fine animal hair (414)","[""kg""]","6.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","59%","",""
"5806.39.20.00","3","Of vegetable fibers, except cotton (899)","[""kg""]","4.9%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"5806.39.30","3","Other","","Free","","65%","",""
"5806.39.30.10","4","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"5806.39.30.20","5","Of metalized yarn (229)","[""kg""]","","","","",""
"5806.39.30.80","5","Other (899)","[""kg""]","","","","",""
"5806.40.00.00","1","Fabrics consisting of warp without weft assembled by means of an adhesive (bolducs)","[""kg""]","8%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","83.5%","",""
"5807","0","Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered:","","","","","",""
"5807.10","1","Woven:","","","","","",""
"","2","Labels:","","","","","",""
"5807.10.05","3","Of cotton or man-made fibers","","7.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","71.5%","",""
"5807.10.05.10","4","Of cotton (369)","[""kg""]","","","","",""
"5807.10.05.20","4","Other (669)","[""kg""]","","","","",""
"5807.10.15.00","3","Other","[""kg""]","4.5%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","71.5%","",""
"5807.10.20","2","Other","","3.3%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5807.10.20.10","3","Of cotton","[""kg""]","","","","",""
"5807.10.20.20","3","Of man-made fibers","[""kg""]","","","","",""
"5807.10.20.90","3","Other","[""kg""]","","","","",""
"5807.90","1","Other:","","","","","",""
"","2","Labels:","","","","","",""
"5807.90.05","3","Of cotton or man-made fibers","","7.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","71.5%","",""
"5807.90.05.10","4","Of cotton (369)","[""kg""]","","","","",""
"5807.90.05.20","4","Other (669)","[""kg""]","","","","",""
"5807.90.15.00","3","Other","[""kg""]","4.5%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","71.5%","",""
"5807.90.20","2","Other","","3.3%","Free (AU,BH, CL,CO,E*,IL,JO,KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"5807.90.20.10","3","Of cotton","[""kg""]","","","","",""
"5807.90.20.20","3","Of man-made fibers","[""kg""]","","","","",""
"5807.90.20.90","3","Other","[""kg""]","","","","",""
"5808","0","Braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles:","","","","","",""
"5808.10","1","Braids in the piece:","","","","","",""
"","2","Suitable for making or ornamenting headwear:","","","","","",""
"5808.10.10.00","3","Of abaca or ramie (899)","[""kg""]","Free","","25%","",""
"5808.10.40.00","3","Of cotton or man-made fibers (229)","[""kg""]","3.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","90%","",""
